Pokemon,Item,Ability,Tera Type,Move 1,Move 2,Move 3,Move 4,Rank,Wins,Losses,Tournament
Miraidon ,Choice Specs,Hadron Engine,Fairy, Electro Drift, Draco Meteor, Dazzling Gleam, Volt Switch,1,9,2,Worlds
OgerponHearthflame ,Hearthflame Mask,Mold Breaker,Fire, Spiky Shield, Ivy Cudgel, Wood Hammer, Follow Me,1,9,2,Worlds
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Water, Detect, Surging Strikes, Close Combat, Aqua Jet,1,9,2,Worlds
Iron Hands ,Assault Vest,Quark Drive,Bug, Drain Punch, Wild Charge, Fake Out, Low Kick,1,9,2,Worlds
Whimsicott ,Covert Cloak,Prankster,Dark, Moonblast, Encore, Light Screen, Tailwind,1,9,2,Worlds
Farigiraf ,Electric Seed,Armor Tail,Water, Psychic Noise, Foul Play, Helping Hand, Trick Room,1,9,2,Worlds
Landorus ,Choice Scarf,Sheer Force,Ghost, Earth Power, Sandsear Storm, Sludge Bomb, Uturn,2,9,2,Worlds
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Water, Surging Strikes, Close Combat, Aqua Jet, Detect,2,9,2,Worlds
Iron Valiant ,Booster Energy,Quark Drive,Ghost, Spirit Break, Wide Guard, Encore, Coaching,2,9,2,Worlds
Pelipper ,Life Orb,Drizzle,Grass, Weather Ball, Hurricane, Helping Hand, Wide Guard,2,9,2,Worlds
Amoonguss ,Rocky Helmet,Regenerator,Fire, Spore, Pollen Puff, Rage Powder, Clear Smog,2,9,2,Worlds
CalyrexIce ,Clear Amulet,As One (Glastrier),Grass, Glacial Lance, High Horsepower, Trick Room, Protect,2,9,2,Worlds
Flutter Mane ,Booster Energy,Protosynthesis,Grass, Moonblast, Shadow Ball, Icy Wind, Protect,3,9,2,Worlds
ChienPao ,Focus Sash,Sword of Ruin,Ghost, Icicle Crash, Throat Chop, Sucker Punch, Protect,3,9,2,Worlds
Rillaboom ,Assault Vest,Grassy Surge,Fire, Wood Hammer, Grassy Glide, Uturn, Fake Out,3,9,2,Worlds
