miraidon,choice-specs,hadron-engine,fairy,electro-drift,draco-meteor,dazzling-gleam,volt-switch,9gen
ogerpon,hearthflame-mask,mold-breaker,fire,spiky-shield,ivy-cudgel,wood-hammer,follow-me,9gen
urshifu,focus-sash,unseen-fist,water,detect,surging-strikes,close-combat,aqua-jet,8gen
iron-hands,assault-vest,quark-drive,bug,drain-punch,wild-charge,fake-out,low-kick,9gen
whimsicott,covert-cloak,prankster,dark,moonblast,encore,light-screen,tailwind,5gen
farigiraf,electric-seed,armor-tail,water,psychic-noise,foul-play,helping-hand,trick-room,9gen
landorus,choice-scarf,sheer-force,ghost,earth-power,sandsear-storm,sludge-bomb,uturn,5gen
urshifu,focus-sash,unseen-fist,water,surging-strikes,close-combat,aqua-jet,detect,8gen
iron-valiant,booster-energy,quark-drive,ghost,spirit-break,wide-guard,encore,coaching,9gen
pelipper,life-orb,drizzle,grass,weather-ball,hurricane,helping-hand,wide-guard,3gen
amoonguss,rocky-helmet,regenerator,fire,spore,pollen-puff,rage-powder,clear-smog,5gen
calyrex,clear-amulet,as-one-(glastrier),grass,glacial-lance,high-horsepower,trick-room,protect,8gen
flutter-mane,booster-energy,protosynthesis,grass,moonblast,shadow-ball,icy-wind,protect,9gen
chien-pao,focus-sash,sword-of-ruin,ghost,icicle-crash,throat-chop,sucker-punch,protect,9gen
rillaboom,assault-vest,grassy-surge,fire,wood-hammer,grassy-glide,uturn,fake-out,8gen
zamazenta,rusted-shield,dauntless-shield,dragon,body-press,heavy-slam,wide-guard,protect,8gen
urshifu,safety-goggles,unseen-fist,water,surging-strikes,aqua-jet,substitute,protect,8gen
entei,choice-band,inner-focus,normal,sacred-fire,extreme-speed,stone-edge,flare-blitz,2gen
miraidon,choice-specs,hadron-engine,fairy,electro-drift,draco-meteor,dazzling-gleam,volt-switch,9gen
ogerpon,hearthflame-mask,mold-breaker,fire,ivy-cudgel,horn-leech,follow-me,spiky-shield,9gen
whimsicott,covert-cloak,prankster,water,tailwind,moonblast,encore,light-screen,5gen
iron-hands,assault-vest,quark-drive,grass,fake-out,drain-punch,low-kick,heavy-slam,9gen
urshifu,focus-sash,unseen-fist,dark,wicked-blow,close-combat,sucker-punch,protect,8gen
farigiraf,electric-seed,armor-tail,water,trick-room,psychic,foul-play,helping-hand,9gen
ursaluna,flame-orb,guts,fairy,facade,headlong-rush,earthquake,protect,8gen
ogerpon,wellspring-mask,water-absorb,water,ivy-cudgel,wood-hammer,follow-me,taunt,9gen
gallade,psychic-seed,sharpness,fire,sacred-sword,psycho-cut,wide-guard,trick-room,4gen
indeedee,rocky-helmet,psychic-surge,dragon,follow-me,heal-pulse,helping-hand,trick-room,8gen
calyrex,clear-amulet,as-one-(glastrier),dragon,glacial-lance,high-horsepower,imprison,trick-room,8gen
torkoal,assault-vest,drought,grass,eruption,weather-ball,solar-beam,clear-smog,3gen
gholdengo,choice-specs,good-as-gold,steel,shadow-ball,trick,make-it-rain,thunderbolt,9gen
miraidon,assault-vest,hadron-engine,fairy,volt-switch,draco-meteor,electro-drift,dazzling-gleam,9gen
dondozo,leftovers,unaware,grass,order-up,protect,wave-crash,earthquake,9gen
dragonite,choice-band,multiscale,normal,iron-head,aerial-ace,extreme-speed,outrage,1gen
tatsugiri,choice-scarf,commander,normal,muddy-water,icy-wind,draco-meteor,sleep-talk,9gen
chi-yu,focus-sash,beads-of-ruin,ghost,heat-wave,protect,dark-pulse,overheat,9gen
farigiraf,safety-goggles,armor-tail,steel,foul-play,helping-hand,trick-room,psychic,9gen
landorus,life-orb,sheer-force,poison,protect,sludge-bomb,earth-power,sandsear-storm,5gen
calyrex,clear-amulet,as-one-(glastrier),water,trick-room,glacial-lance,protect,high-horsepower,8gen
ogerpon,cornerstone-mask,sturdy,rock,ivy-cudgel,follow-me,power-whip,spiky-shield,9gen
urshifu,mystic-water,unseen-fist,normal,detect,close-combat,surging-strikes,aqua-jet,8gen
regieleki,focus-sash,transistor,electric,protect,electroweb,thunderbolt,volt-switch,8gen
chien-pao,focus-sash,sword-of-ruin,stellar,icicle-crash,sucker-punch,sacred-sword,protect,9gen
incineroar,rocky-helmet,intimidate,ghost,fake-out,knock-off,parting-shot,willowisp,7gen
terapagos,leftovers,tera-shift,stellar,tera-starstorm,calm-mind,substitute,protect,9gen
flutter-mane,booster-energy,protosynthesis,fairy,moonblast,icy-wind,thunder-wave,protect,9gen
rillaboom,assault-vest,grassy-surge,grass,fake-out,wood-hammer,grassy-glide,uturn,8gen
urshifu,splash-plate,unseen-fist,water,surging-strikes,close-combat,aqua-jet,detect,8gen
incineroar,rocky-helmet,intimidate,ghost,knock-off,parting-shot,willowisp,fake-out,7gen
urshifu,mystic-water,unseen-fist,poison,surging-strikes,close-combat,aqua-jet,detect,8gen
rillaboom,assault-vest,grassy-surge,grass,wood-hammer,grassy-glide,uturn,fake-out,8gen
flutter-mane,booster-energy,protosynthesis,fairy,moonblast,icy-wind,thunder-wave,protect,9gen
terapagos,leftovers,tera-shift,stellar,tera-starstorm,calm-mind,substitute,protect,9gen
ogerpon,hearthflame-mask,mold-breaker,fire,ivy-cudgel,horn-leech,follow-me,spiky-shield,9gen
calyrex,life-orb,as-one-(spectrier),normal,astral-barrage,expanding-force,nasty-plot,protect,8gen
incineroar,rocky-helmet,intimidate,water,knock-off,willowisp,parting-shot,fake-out,7gen
rillaboom,assault-vest,grassy-surge,fire,grassy-glide,fake-out,uturn,wood-hammer,8gen
urshifu,focus-sash,unseen-fist,stellar,surging-strikes,close-combat,taunt,detect,8gen
raging-bolt,booster-energy,protosynthesis,electric,draco-meteor,thunderclap,thunderbolt,protect,9gen
clefairy,eviolite,friend-guard,ground,follow-me,helping-hand,sing,protect,1gen
urshifu,focus-sash,unseen-fist,stellar,surging-strikes,close-combat,aqua-jet,detect,8gen
rillaboom,assault-vest,grassy-surge,fire,uturn,wood-hammer,grassy-glide,fake-out,8gen
raging-bolt,booster-energy,protosynthesis,fairy,thunderbolt,draco-meteor,thunderclap,protect,9gen
calyrex,spell-tag,as-one-(spectrier),normal,astral-barrage,psychic,nasty-plot,protect,8gen
incineroar,rocky-helmet,intimidate,water,parting-shot,flare-blitz,knock-off,fake-out,7gen
ogerpon,hearthflame-mask,mold-breaker,fire,ivy-cudgel,grassy-glide,spiky-shield,follow-me,9gen
urshifu,choice-scarf,unseen-fist,water,surging-strikes,close-combat,uturn,rock-tomb,8gen
tatsugiri,focus-sash,commander,stellar,draco-meteor,muddy-water,helping-hand,protect,9gen
calyrex,life-orb,as-one-(spectrier),normal,astral-barrage,expanding-force,pollen-puff,protect,8gen
weezing,mental-herb,neutralizing-gas,grass,toxic-spikes,dazzling-gleam,poison-gas,protect,1gen
indeedee,safety-goggles,psychic-surge,water,follow-me,helping-hand,psyshock,trick-room,8gen
dondozo,leftovers,unaware,grass,wave-crash,order-up,protect,body-press,9gen
calyrex,clear-amulet,as-one-(glastrier),fire,glacial-lance,high-horsepower,trick-room,protect,8gen
ogerpon,cornerstone-mask,sturdy,rock,ivy-cudgel,power-whip,follow-me,spiky-shield,9gen
farigiraf,throat-spray,armor-tail,water,hyper-voice,shadow-ball,trick-room,helping-hand,9gen
rillaboom,assault-vest,grassy-surge,grass,wood-hammer,grassy-glide,uturn,fake-out,8gen
urshifu,focus-sash,unseen-fist,water,surging-strikes,close-combat,aqua-jet,detect,8gen
raging-bolt,booster-energy,protosynthesis,electric,thunderbolt,draco-meteor,thunderclap,protect,9gen
urshifu,choice-scarf,unseen-fist,ghost,surging-strikes,close-combat,uturn,aqua-jet,8gen
kyogre,leftovers,drizzle,grass,origin-pulse,ice-beam,calm-mind,protect,3gen
roaring-moon,booster-energy,protosynthesis,flying,knock-off,acrobatics,tailwind,protect,9gen
rillaboom,assault-vest,grassy-surge,fire,drum-beating,grassy-glide,fake-out,uturn,8gen
amoonguss,rocky-helmet,regenerator,steel,spore,rage-powder,sludge-bomb,protect,5gen
incineroar,safety-goggles,intimidate,ghost,knock-off,parting-shot,fake-out,willowisp,7gen
flutter-mane,booster-energy,protosynthesis,grass,moonblast,shadow-ball,thunder-wave,protect,9gen
latios,soul-dew,levitate,steel,luster-purge,draco-meteor,tailwind,protect,3gen
rillaboom,miracle-seed,grassy-surge,grass,wood-hammer,grassy-glide,fake-out,protect,8gen
landorus,life-orb,sheer-force,poison,earth-power,sludge-bomb,substitute,protect,5gen
tyranitar,focus-sash,sand-stream,ghost,rock-slide,knock-off,taunt,protect,2gen
zamazenta,rusted-shield,dauntless-shield,dragon,body-press,heavy-slam,wide-guard,protect,8gen
urshifu,focus-sash,unseen-fist,dark,wicked-blow,close-combat,sucker-punch,detect,8gen
chi-yu,safety-goggles,beads-of-ruin,water,overheat,heat-wave,snarl,protect,9gen
amoonguss,rocky-helmet,regenerator,water,pollen-puff,spore,rage-powder,protect,5gen
flutter-mane,booster-energy,protosynthesis,normal,moonblast,icy-wind,thunder-wave,protect,9gen
calyrex,clear-amulet,as-one-(glastrier),fire,glacial-lance,high-horsepower,trick-room,protect,8gen
raging-bolt,assault-vest,protosynthesis,electric,draco-meteor,thunderclap,volt-switch,electroweb,9gen
incineroar,safety-goggles,intimidate,ghost,fake-out,parting-shot,helping-hand,knock-off,7gen
raging-bolt,booster-energy,protosynthesis,fairy,protect,thunderbolt,dragon-pulse,thunderclap,9gen
calyrex,covert-cloak,as-one-(spectrier),water,protect,astral-barrage,nasty-plot,psyshock,8gen
rillaboom,assault-vest,grassy-surge,fire,fake-out,wood-hammer,uturn,grassy-glide,8gen
urshifu,focus-sash,unseen-fist,stellar,detect,surging-strikes,close-combat,aqua-jet,8gen
farigiraf,throat-spray,armor-tail,grass,protect,psychic,hyper-voice,trick-room,9gen
chi-yu,covert-cloak,beads-of-ruin,grass,protect,snarl,heat-wave,overheat,9gen
ogerpon,cornerstone-mask,sturdy,rock,spiky-shield,follow-me,power-whip,ivy-cudgel,9gen
calyrex,nevermelt-ice,as-one-(glastrier),poison,protect,glacial-lance,high-horsepower,trick-room,8gen
flutter-mane,booster-energy,protosynthesis,normal,protect,dazzling-gleam,icy-wind,moonblast,9gen
urshifu,focus-sash,unseen-fist,water,surging-strikes,close-combat,detect,aqua-jet,8gen
raging-bolt,life-orb,protosynthesis,electric,protect,draco-meteor,thunderbolt,thunderclap,9gen
urshifu,focus-sash,unseen-fist,stellar,surging-strikes,close-combat,aqua-jet,detect,8gen
calyrex,spell-tag,as-one-(spectrier),normal,astral-barrage,expanding-force,nasty-plot,protect,8gen
amoonguss,rocky-helmet,regenerator,fairy,spore,sludge-bomb,rage-powder,protect,5gen
raging-bolt,life-orb,protosynthesis,electric,thunderbolt,dragon-pulse,thunderclap,protect,9gen
rillaboom,assault-vest,grassy-surge,fire,fake-out,grassy-glide,uturn,wood-hammer,8gen
incineroar,covert-cloak,intimidate,ghost,fake-out,knock-off,taunt,parting-shot,7gen
zamazenta,rusted-shield,dauntless-shield,grass,body-press,heavy-slam,wide-guard,protect,8gen
pelipper,safety-goggles,drizzle,grass,weather-ball,hurricane,wide-guard,helping-hand,3gen
urshifu,choice-scarf,unseen-fist,ghost,surging-strikes,close-combat,coaching,uturn,8gen
raging-bolt,booster-energy,protosynthesis,electric,thunderbolt,thunderclap,dragon-pulse,protect,9gen
chien-pao,focus-sash,sword-of-ruin,ghost,ice-spinner,throat-chop,sucker-punch,protect,9gen
amoonguss,rocky-helmet,regenerator,dark,spore,rage-powder,sludge-bomb,protect,5gen
ditto,choice-scarf,imposter,normal,transform,,,,1gen
zacian,rusted-sword,intrepid-sword,ground,iron-head,sacred-sword,tera-blast,protect,8gen
amoonguss,rocky-helmet,regenerator,water,spore,sludge-bomb,rage-powder,protect,5gen
regidrago,life-orb,dragon's-maw,ghost,dragon-energy,draco-meteor,tera-blast,protect,8gen
chi-yu,focus-sash,beads-of-ruin,fire,heat-wave,overheat,dark-pulse,protect,9gen
whimsicott,covert-cloak,prankster,steel,moonblast,tailwind,sunny-day,encore,5gen
calyrex,clear-amulet,as-one-(glastrier),normal,glacial-lance,high-horsepower,protect,trick-room,8gen
urshifu,focus-sash,unseen-fist,stellar,surging-strikes,close-combat,aqua-jet,detect,8gen
landorus,choice-scarf,sheer-force,ghost,earth-power,sandsear-storm,sludge-bomb,uturn,5gen
ogerpon,loaded-dice,defiant,grass,bullet-seed,encore,follow-me,spiky-shield,9gen
pelipper,safety-goggles,drizzle,grass,weather-ball,hurricane,wide-guard,helping-hand,3gen
incineroar,rocky-helmet,intimidate,grass,knock-off,willowisp,fake-out,parting-shot,7gen
rillaboom,clear-amulet,grassy-surge,fire,wood-hammer,grassy-glide,uturn,fake-out,8gen
amoonguss,mental-herb,regenerator,water,spore,sludge-bomb,rage-powder,protect,5gen
urshifu,focus-sash,unseen-fist,stellar,surging-strikes,close-combat,aqua-jet,protect,8gen
calyrex,life-orb,as-one-(spectrier),dark,astral-barrage,psychic,nasty-plot,protect,8gen
raging-bolt,assault-vest,protosynthesis,fairy,electroweb,volt-switch,thunderclap,draco-meteor,9gen
incineroar,rocky-helmet,intimidate,water,parting-shot,knock-off,helping-hand,fake-out,7gen
ogerpon,hearthflame-mask,mold-breaker,fire,ivy-cudgel,horn-leech,follow-me,spiky-shield,9gen
miraidon,choice-specs,hadron-engine,fairy,dazzling-gleam,draco-meteor,electro-drift,volt-switch,9gen
whimsicott,covert-cloak,prankster,water,tailwind,moonblast,encore,light-screen,5gen
iron-hands,assault-vest,quark-drive,grass,fake-out,low-kick,drain-punch,heavy-slam,9gen
farigiraf,electric-seed,armor-tail,water,trick-room,helping-hand,psychic-noise,foul-play,9gen
urshifu,focus-sash,unseen-fist,dark,wicked-blow,close-combat,sucker-punch,detect,8gen
koraidon,clear-amulet,orichalcum-pulse,fire,protect,flare-blitz,collision-course,flame-charge,9gen
raging-bolt,assault-vest,protosynthesis,electric,volt-switch,thunderclap,draco-meteor,thunderbolt,9gen
ogerpon,cornerstone-mask,sturdy,rock,ivy-cudgel,power-whip,spiky-shield,follow-me,9gen
flutter-mane,booster-energy,protosynthesis,fairy,protect,icy-wind,moonblast,sunny-day,9gen
ditto,focus-sash,imposter,ghost,transform,,,,1gen
chi-yu,covert-cloak,beads-of-ruin,water,heat-wave,snarl,overheat,taunt,9gen
ogerpon,hearthflame-mask,mold-breaker,fire,spiky-shield,follow-me,ivy-cudgel,wood-hammer,9gen
urshifu,focus-sash,unseen-fist,grass,detect,surging-strikes,close-combat,aqua-jet,8gen
landorus,choice-scarf,sheer-force,ghost,sandsear-storm,earth-power,sludge-bomb,psychic,5gen
grimmsnarl,covert-cloak,prankster,water,thunder-wave,foul-play,reflect,taunt,8gen
raging-bolt,assault-vest,protosynthesis,poison,thunderclap,thunderbolt,dragon-pulse,electroweb,9gen
terapagos,leftovers,tera-shift,stellar,protect,calm-mind,tera-starstorm,dark-pulse,9gen
smeargle,focus-sash,moody,grass,follow-me,spore,decorate,quick-guard,2gen
tornadus,rocky-helmet,prankster,dark,tailwind,protect,scary-face,bleakwind-storm,5gen
