rank_category,pokemon,item,ability,tera type,move_1,move_2,move_3,move_4,tournament
2,miraidon,choice specs,hadron engine,fairy,electro-drift,draco-meteor,dazzling-gleam,volt-switch,worlds
2,ogerpon,hearthflame mask,mold breaker,fire,spiky-shield,ivy-cudgel,wood-hammer,follow-me,worlds
2,urshifu,focus sash,unseen fist,water,detect,surging-strikes,close-combat,aqua-jet,worlds
2,iron-hands,assault vest,quark drive,bug,drain-punch,wild-charge,fake-out,low-kick,worlds
2,whimsicott,covert cloak,prankster,dark,moonblast,encore,light-screen,tailwind,worlds
2,farigiraf,electric seed,armor tail,water,psychic-noise,foul-play,helping-hand,trick-room,worlds
2,calyrex,clear amulet,as one (glastrier),grass,glacial-lance,high-horsepower,trick-room,protect,worlds
2,pelipper,life orb,drizzle,grass,weather-ball,hurricane,helping-hand,wide-guard,worlds
2,amoonguss,rocky helmet,regenerator,fire,spore,pollen-puff,rage-powder,clear-smog,worlds
2,urshifu,focus sash,unseen fist,water,surging-strikes,close-combat,aqua-jet,detect,worlds
2,landorus,choice scarf,sheer force,ghost,earth-power,sandsear-storm,sludge-bomb,uturn,worlds
2,iron-valiant,booster energy,quark drive,ghost,spirit-break,wide-guard,encore,coaching,worlds
2,flutter-mane,booster energy,protosynthesis,grass,moonblast,shadow-ball,icy-wind,protect,worlds
2,chien-pao,focus sash,sword of ruin,ghost,icicle-crash,throat-chop,sucker-punch,protect,worlds
2,rillaboom,assault vest,grassy surge,fire,wood-hammer,grassy-glide,uturn,fake-out,worlds
2,zamazenta,rusted shield,dauntless shield,dragon,body-press,heavy-slam,wide-guard,protect,worlds
2,urshifu,safety goggles,unseen fist,water,surging-strikes,aqua-jet,substitute,protect,worlds
2,entei,choice band,inner focus,normal,sacred-fire,extreme-speed,stone-edge,flare-blitz,worlds
2,urshifu,focus sash,unseen fist,dark,wicked-blow,close-combat,sucker-punch,protect,worlds
2,farigiraf,electric seed,armor tail,water,trick-room,psychic,foul-play,helping-hand,worlds
2,iron-hands,assault vest,quark drive,grass,fake-out,drain-punch,low-kick,heavy-slam,worlds
2,miraidon,choice specs,hadron engine,fairy,electro-drift,draco-meteor,dazzling-gleam,volt-switch,worlds
2,ogerpon,hearthflame mask,mold breaker,fire,ivy-cudgel,horn-leech,follow-me,spiky-shield,worlds
2,whimsicott,covert cloak,prankster,water,tailwind,moonblast,encore,light-screen,worlds
2,ursaluna,flame orb,guts,fairy,facade,headlong-rush,earthquake,protect,worlds
2,ogerpon,wellspring mask,water absorb,water,ivy-cudgel,wood-hammer,follow-me,taunt,worlds
2,gallade,psychic seed,sharpness,fire,sacred-sword,psycho-cut,wide-guard,trick-room,worlds
2,indeedee,rocky helmet,psychic surge,dragon,follow-me,heal-pulse,helping-hand,trick-room,worlds
2,calyrex,clear amulet,as one (glastrier),dragon,glacial-lance,high-horsepower,imprison,trick-room,worlds
2,torkoal,assault vest,drought,grass,eruption,weather-ball,solar-beam,clear-smog,worlds
2,gholdengo,choice specs,good as gold,steel,shadow-ball,trick,make-it-rain,thunderbolt,worlds
2,miraidon,assault vest,hadron engine,fairy,volt-switch,draco-meteor,electro-drift,dazzling-gleam,worlds
2,dondozo,leftovers,unaware,grass,order-up,protect,wave-crash,earthquake,worlds
2,dragonite,choice band,multiscale,normal,iron-head,aerial-ace,extreme-speed,outrage,worlds
2,tatsugiri,choice scarf,commander,normal,muddy-water,icy-wind,draco-meteor,sleep-talk,worlds
2,chi-yu,focus sash,beads of ruin,ghost,heat-wave,protect,dark-pulse,overheat,worlds
2,regieleki,focus sash,transistor,electric,protect,electroweb,thunderbolt,volt-switch,worlds
2,ogerpon,cornerstone mask,sturdy,rock,ivy-cudgel,follow-me,power-whip,spiky-shield,worlds
2,urshifu,mystic water,unseen fist,normal,detect,close-combat,surging-strikes,aqua-jet,worlds
2,landorus,life orb,sheer force,poison,protect,sludge-bomb,earth-power,sandsear-storm,worlds
2,calyrex,clear amulet,as one (glastrier),water,trick-room,glacial-lance,protect,high-horsepower,worlds
2,farigiraf,safety goggles,armor tail,steel,foul-play,helping-hand,trick-room,psychic,worlds
2,rillaboom,assault vest,grassy surge,grass,fake-out,wood-hammer,grassy-glide,uturn,worlds
2,flutter-mane,booster energy,protosynthesis,fairy,moonblast,icy-wind,thunder-wave,protect,worlds
2,urshifu,splash plate,unseen fist,water,surging-strikes,close-combat,aqua-jet,detect,worlds
2,incineroar,rocky helmet,intimidate,ghost,fake-out,knock-off,parting-shot,willowisp,worlds
2,chien-pao,focus sash,sword of ruin,stellar,icicle-crash,sucker-punch,sacred-sword,protect,worlds
2,terapagos,leftovers,tera shift,stellar,tera-starstorm,calm-mind,substitute,protect,worlds
2,incineroar,rocky helmet,intimidate,ghost,knock-off,parting-shot,willowisp,fake-out,worlds
2,urshifu,mystic water,unseen fist,poison,surging-strikes,close-combat,aqua-jet,detect,worlds
2,rillaboom,assault vest,grassy surge,grass,wood-hammer,grassy-glide,uturn,fake-out,worlds
2,flutter-mane,booster energy,protosynthesis,fairy,moonblast,icy-wind,thunder-wave,protect,worlds
2,terapagos,leftovers,tera shift,stellar,tera-starstorm,calm-mind,substitute,protect,worlds
2,ogerpon,hearthflame mask,mold breaker,fire,ivy-cudgel,horn-leech,follow-me,spiky-shield,worlds
2,raging-bolt,booster energy,protosynthesis,electric,draco-meteor,thunderclap,thunderbolt,protect,worlds
2,urshifu,focus sash,unseen fist,stellar,surging-strikes,close-combat,taunt,detect,worlds
2,clefairy,eviolite,friend guard,ground,follow-me,helping-hand,sing,protect,worlds
2,incineroar,rocky helmet,intimidate,water,knock-off,willowisp,parting-shot,fake-out,worlds
2,calyrex,life orb,as one (spectrier),normal,astral-barrage,expanding-force,nasty-plot,protect,worlds
2,rillaboom,assault vest,grassy surge,fire,grassy-glide,fake-out,uturn,wood-hammer,worlds
